Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
600309	200803	20	.026265686	55705069	.121697	.535930	-.16505	0.014688588	0.078436	0.026265686	0
601168	200803	21	.022201101	553332.60	.295718		-.34333	0.014792619	0.232178	0.022201101	0
600519	200803	21	.023072262	1771607.0	.073556	.275165	-.03739	0.01488207	0.053646	0.023072262	0
600256	200803	20	.069715450	11432008	.170818	.939540	-.27671	0.015588849	0.170818	0.06971545	0
600011	200803	20	.021820228	815400.00	.054072	.902612	-.24813	0.015779312	0.039071	0.021820228	0
000970	200803	21	.027572854	58830.84	.300020	.695667	-.18951	0.015820161	0.335785	0.027572854	1
600066	200803	21	.026674396	10009915	.172033	.571558	-.21314	0.015898686	0.087699	0.026674396	1
000423	200803	21	.016187352	12936961	.128364	.324005	-.23482	0.016131433	0.117078	0.016187352	1
600518	200803	21	.023764000	73382.40	.546283	.940552	-.15636	0.016205396	0.482545	0.023764	1
000568	200803	21	.016075176	54026780	.117736	.757190	-.13829	0.016283708	0.175415	0.016075176	1
600118	200803	21	.028344957	6207606.4	.349398	1.12187	-.43668	0.016571542	0.170956	0.028344957	1
000629	200803	21	.076413700	35001410	.222284	1.02421	-.19850	0.016674836	0.222284	0.0764137	1
600406	200803	21	.022949493	5473587.6	.192422	.612172	-.34930	0.016876526	0.115732	0.022949493	1
600009	200803	20	.031063806	46825090	.219611	.574954	-.23681	0.017337263	0.076839	0.031063806	1
600104	200803	21	.017617541	89945629	.256970	.858457	-.27200	0.01733809	0.161752	0.017617541	1
000999	200803	21	.019339322	171405.39	.203144	1.04018	-.13616	0.017468314	0.105927	0.019339322	1
600276	200803	20	.019032927	18363654	.053727	.345002	-.17761	0.017473311	0.041106	0.019032927	1
000800	200803	20	.023947518	216132.00	.234489	1.20595	-.38233	0.01765808	0.168773	0.023947518	1
600123	200803	21	.025137351	148144.80	.239648	.579724	-.21048	0.017692198	0.160443	0.025137351	1
000069	200803	20	.024391104	53457092	.180652	.482725	-.05051	0.017727586	0.113925	0.024391104	1
600588	200803	20	.031511213	12982687	.184695	.620771	-.03608	0.017835669	0.088405	0.031511213	1
600583	200803	20	.018459221	432432.00	.082170	.417557	-.10363	0.018083226	0.034226	0.018459221	1
600271	200803	21	.083203570	159994.44	.054001	.587962	-.23671	0.018156508	0.054001	0.08320357	1
600031	200803	21	.016501178	384995.20	.161621	.796091	-.29654	0.018244811	0.150371	0.016501178	1
000060	200803	21	.018790947	22567301	.361122	.925404	-.22734	0.018326146	0.260662	0.018790947	1
000538	200803	21	.025403721	13069381	.121044	.344857	-.29688	0.018383939	0.079932	0.025403721	1
601857	200803	21	.029732404	27882982	.377254		-.23704	0.018632729	0.309891	0.029732404	1
000625	200803	21	.012928104	13949064	.469241	.833217	-.33425	0.018930257	0.197004	0.012928104	2
600340	200803	21	.054879138	1312281.8	2.26670	1.12910	-.01527	0.019175859	0.493057	0.054879138	2
000858	200803	20	.019219664	91862395	.255884	.710763	-.33149	0.019225397	0.187139	0.019219664	2
000063	200803	21	.029674120	47066942	.098994	.320289	-.13615	0.019282592	0.07903	0.02967412	2
600741	200803	21	.021117020	10774249	.319066	1.18756	-.13668	0.019316341	0.147699	0.02111702	2
601699	200803	21	.033677127	33052515	.150178		-.13817	0.019453028	0.066043	0.033677127	2
600887	200803	20	.020874687	14314538	.295050	.398407	-.10421	0.019688502	0.272177	0.020874687	2
600971	200803	21	.029005429	6631682.7	.155713		-.22107	0.0197119	0.13881	0.029005429	2
002146	200803	20	.022925483	131120.00	.682239		-.15949	0.019964054	0.581959	0.022925483	2
600348	200803	21	.035714392	166281.70	.351631	.778385	-.26463	0.019967875	0.166241	0.035714392	2
000401	200803	21	.016710589	16280451	.155664	1.07233	-.26797	0.020167707	0.128895	0.016710589	2
600208	200803	21	.026162087	25509525	.250018	.972060	-.14657	0.02026489	0.262394	0.026162087	2
600795	200803	21	.029116895	39823192	.246495	.903479	-.20576	0.021327403	0.403839	0.029116895	2
000651	200803	21	.015699449	37480008	.120524	.594221	-.16716	0.021449123	0.113155	0.015699449	2
600315	200803	21	.022255331	6437277.5	.104863	.805341	-.09219	0.021495008	0.129746	0.022255331	2
601808	200803	21	.025143689	64597412	.318473		-.32862	0.022021294	0.283709	0.025143689	2
600048	200803	21	.041635696	72957210	.297671		-.06319	0.022171915	0.115378	0.041635696	2
600196	200803	21	.018874273	18294313	.447109	.923786	-.10641	0.02221957	0.40709	0.018874273	2
600585	200803	21	.027268662	60628029	.108315	.638910	-.19670	0.022539998	0.06144	0.027268662	2
600150	200803	21	.025535430	80546998	.288992	.896252	-.33517	0.02298972	0.157721	0.02553543	2
601991	200803	21	.018361107	111052403	.029387		-.18408	0.023250222	0.038167	0.018361107	2
600010	200803	21	.107912694	41237722	.199325	.873850	-.14967	0.02354848	0.199325	0.107912694	3
