Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
000977	200802	16	.045524139	24359.50	.470052	.960948	.124008	0.169133618	0.957307	0.045524139	4
600325	200802	15	.155892758	14116983	.205870	.687766	-.04762	0.171390557	0.555214	0.155892758	4
600846	200802	16	.204720017	3804267.5	2.08729	1.10547	.470968	0.177311745	1.775242	0.204720017	4
600316	200802	15	.135060502	120909.60	.167955	.759806	.069550	0.179458043	0.508275	0.135060502	4
000988	200802	16	.107906263	46075.90	.730644	1.14992	.151719	0.189014159	0.914211	0.107906263	4
600372	200802	16	.150891366	37638.00	.577328	1.30659	.039638	0.196863507	1.654222	0.150891366	4
600239	200802	16	.125788869	5694219.0	.299272	.818464	.105471	0.197565119	1.01316	0.125788869	4
000503	200802	16	.088396566	10074299	.405238	1.02336	.068308	0.205328053	1.203246	0.088396566	4
002079	200802	15	.176533090	32167.80	2.19986		.348958	0.208212455	1.56323	0.17653309	4
000938	200802	16	.115104512	53477.76	.752578	.961676	.217167	0.217092154	1.635527	0.115104512	4
000540	200802	16	.070319329	3908665.1	.399194	1.32446	.031034	0.220251349	1.355839	0.070319329	4
000525	200802	16	.117748901	6067170.9	.440748	.888274	.099543	0.23867103	1.161366	0.117748901	4
600256	200803	20	.069715450	11432008	.170818	.939540	-.27671	0.015588849	0.170818	0.06971545	0
000629	200803	21	.076413700	35001410	.222284	1.02421	-.19850	0.016674836	0.222284	0.0764137	0
600271	200803	21	.083203570	159994.44	.054001	.587962	-.23671	0.018156508	0.054001	0.08320357	0
600010	200803	21	.107912694	41237722	.199325	.873850	-.14967	0.02354848	0.199325	0.107912694	0
000887	200803	16	.127500362	4974288.9	.359926	1.04830	-.29889	0.026198846	0.708128	0.127500362	0
000039	200803	21	.127386463	23763651	.273584	.510449	-.13459	0.027798005	0.273584	0.127386463	0
600551	200803	21	.236624791	16507.50	1.43367	.838029	.200109	0.028020076	0.521267	0.236624791	0
002221	200803	18	2.06432521	33966.00	4.99726			0.028751442	0.659056	2.064325208	0
000061	200803	20	.128723769	9071324.5	.230945	.821717	-.22465	0.02878351	0.230945	0.128723769	0
600674	200803	21	.135475209	12744088	.760631	.943370	-.34512	0.029563114	0.760631	0.135475209	0
600256	200803	20	.015588849	11432008	.170818	.939540	-.27671	0.031128024	0.129905	0.015588849	0
000623	200803	21	.143183929	21202778	.376347	1.43661	-.31771	0.031245295	0.376347	0.143183929	0
002055	200803	21	.093458006	1336621.2	.150498		-.21767	0.031575505	0.078822	0.093458006	0
600177	200803	21	.059456671	35648053	.159647	1.18608	-.26357	0.032692839	0.120283	0.059456671	0
