Trddt	ivol_lag_rank	ivol_lag	v_weight_ilag	avg_return	v_weight_return	crate	crate_lag	v_weight_crate	v_weight_crate_lag	avg_totalv
200910	3	0.1162579799	0.1170247532	0.0957698636	0.0956385573	0.4274874545	0.7126264545	0.4268604001	0.6494934008	5346050.83
200910	4	0.1548157879	0.1641887982	0.1329834545	0.0915368962	0.6597683636	1.0491379545	0.5079440903	0.8725138992	5999197.1464
200911	0	0.0256131465	0.0217945233	0.1560947727	0.1351667203	0.7376199545	0.4654109091	0.6141773964	0.4665140956	16607492.92
200911	1	0.048689215	0.0482369702	0.1473709091	0.1015363334	0.7950357273	0.3327356364	0.5825613441	0.2564081003	11427407.868
200911	2	0.0605068348	0.0602956784	0.131468913	0.1132277322	0.802460087	0.3556766522	0.6666252521	0.3350478456	8797496.697
200911	3	0.0770161828	0.0759851942	0.1531207727	0.1439248901	0.6826567273	0.3887932273	0.6367763577	0.3743302361	8440089.3732
200911	4	0.1142380045	0.1087062571	0.0784883182	0.0683623091	1.0297215455	0.7840389545	0.8860950346	0.6265700727	6668255.0427
200912	0	0.040560399	0.035853608	0.0201265455	0.0051864373	0.5529976818	0.4979231364	0.3519649549	0.4037904925	19755333.993
200912	1	0.0885671053	0.0883234607	0.0338526364	0.0059283818	0.7366492609	0.6282114348	0.5132404344	0.5981578367	8312611.223
200912	2	0.1068460817	0.1063701517	0.0227028261	0.0001971882	0.6640067826	0.8218031304	0.503116596	0.691098411	8447897.1174
200912	3	0.1245928714	0.1240305266	0.0654645217	0.0318128737	0.7466653478	0.8218744348	0.4746962654	0.576345568	6732897.1322
200912	4	0.1571409732	0.1545865122	0.0435117273	0.030496971	0.8666074783	1.0932785652	0.6323894908	1.0016520094	7279736.6996
201001	0	0.0356988086	0.032328946	0.0174951905	0.0016111713	0.4672163333	0.3965068095	0.3630142986	0.3435875286	19541892.367
201001	1	0.0692087642	0.0691848105	0.0129253636	0.0375074961	0.5603666818	0.5047752727	0.5754016277	0.4495328931	8366559.1364
201001	2	0.0942879493	0.093839538	-0.013607955	-0.019688676	0.7652405455	0.7000965	0.5976121879	0.5324246199	5854867.7073
201001	3	0.1091897413	0.1086562216	-0.004764864	-0.007882238	0.8148595455	0.9010031364	0.6553906318	0.7083487991	8027355.8445
201001	4	0.2280412465	0.1510627291	-0.040620182	-0.052597366	0.8139941818	1.1520132273	0.5960531598	0.6857616242	4650551.8118
201002	0	0.029212796	0.0268708724	0.0414262778	0.0407976635	0.1905247778	0.2563949444	0.1620097676	0.1973952691	22068231.393
