Stkcd,Trdmnt,,Msmvttl,Dturn,Beta,Mretwd
证券代码,月份,,个股总市值,换手率,Beta值,考虑现金红利再投资的月个股回报率
没有单位,没有单位,,千元,没有单位,没有单位,没有单位
000024,2014 ,3 ,29718714.84,0.816659,0.621262,0.190657
000024,2014 ,4 ,25984178.56,0.584487,0.570452,-0.125663
000024,2014 ,5 ,27860589.59,0.419681,0.549752,0.072165
000024,2014 ,6 ,24630213.56,0.341176,0.533647,-0.09028
000024,2014 ,7 ,29759538.27,0.777829,0.446668,0.208253
000024,2014 ,8 ,28577666.22,0.654307,0.461944,-0.039714
000024,2014 ,9 ,29050415.04,0.621153,0.433326,0.016543
000024,2014 ,10 ,31319609.38,0.661579,0.421752,0.078112
000024,2014 ,11 ,40136374.89,1.190485,0.465211,0.281509
000024,2014 ,12 ,62375228.64,1.916676,0.343387,0.554181
000024,2015 ,1 ,61004344.49,1.336093,0.323675,-0.021978
000024,2015 ,2 ,60578897.69,0.76846,0.320987,-0.006974
000039,2008 ,1 ,25993417.94,0.431772,0.48044,-0.184699
000039,2008 ,2 ,27459397.43,0.152805,0.488324,0.056398
000039,2008 ,3 ,23763650.81,0.273584,0.510449,-0.13459
000039,2008 ,4 ,20720819.42,0.251823,0.520315,-0.128046
000039,2008 ,5 ,18478733.13,0.220087,0.534139,-0.108205
000039,2008 ,6 ,13329326.16,0.167299,0.604841,-0.248154
000039,2008 ,7 ,13218453.77,0.140052,0.61367,-0.008318
000039,2008 ,8 ,10779260.99,0.064455,0.633387,-0.184529
000039,2008 ,9 ,10458962.95,0.072314,0.617765,-0.029714
000039,2008 ,10 ,7613238.05,0.058566,0.66361,-0.272085
000039,2008 ,11 ,8290791.6,0.12045,0.660098,0.088997
000039,2008 ,12 ,7637887.52,0.25483,0.661559,-0.078752
000039,2009 ,1 ,8413995.45,0.131116,0.679875,0.101613
000039,2009 ,2 ,8968358.25,0.53157,0.671586,0.065886
000039,2009 ,3 ,10348105.67,0.356038,0.692294,0.153846
000039,2009 ,4 ,10397382.37,0.444477,0.717618,0.004762
000039,2009 ,5 ,11025660.21,0.336414,0.698005,0.060427
